name,category_name,description,price,calories,allergens,spice_level,is_available,is_lite_bite,is_child_friendly,is_salad,is_deal,is_gluten_free,dietary_tags,display_order,image_url
Chicken Quesadilla,Small Plates & Sides,Grilled chicken with melted cheese in a flour tortilla,8.95,520,gluten|dairy,mild,true,false,true,false,false,false,,1,
Nachos Supreme,Small Plates & Sides,Crispy tortilla chips topped with cheese sauce jalapeños and sour cream,9.95,680,dairy|gluten,medium,true,false,false,false,false,false,,2,
Guacamole & Chips,Small Plates & Sides,Fresh avocado dip with crispy tortilla chips,6.95,340,gluten,mild,true,true,true,false,false,true,vg,3,
Chicken Wings (6),Small Plates & Sides,Spicy buffalo wings with ranch dressing,7.95,480,dairy,hot,true,false,false,false,false,false,,4,
Vegetable Fajita Quesadilla,Small Plates & Sides,Grilled peppers onions and mushrooms with cheese,7.95,450,gluten|dairy,mild,true,true,true,false,false,false,v,5,
Classic Beef Burrito,Mains,Seasoned ground beef black beans rice cheese and salsa wrapped in a flour tortilla,12.95,780,gluten|dairy,medium,true,false,false,false,false,false,,10,
Chicken Burrito Bowl,Mains,Grilled chicken on cilantro rice with black beans corn salsa and guacamole,13.95,620,dairy,mild,true,false,false,false,false,false,gf,11,
Vegetarian Enchiladas,Mains,Three cheese enchiladas with red sauce served with rice and beans,11.95,680,gluten|dairy,mild,true,false,false,false,false,false,v,12,
Carne Asada Tacos (3),Mains,Grilled steak tacos with onions cilantro and lime,14.95,720,gluten,hot,true,false,false,false,false,false,,13,
Fish Tacos (3),Mains,Battered fish with cabbage slaw chipotle mayo and lime,13.95,650,gluten|fish|dairy,medium,true,false,false,false,false,false,,14,
Chicken Fajitas,Mains,Sizzling chicken with peppers and onions served with tortillas,15.95,680,gluten|dairy,medium,true,false,false,false,false,false,,15,
Veggie Burrito Bowl,Mains,Black beans rice grilled vegetables guacamole and salsa,10.95,520,dairy,mild,true,true,false,false,false,true,vg|gf,16,
Beef Chimichanga,Mains,Deep-fried burrito filled with beef and cheese topped with sour cream,13.95,850,gluten|dairy,medium,true,false,false,false,false,false,,17,
Pulled Pork Tacos (3),Mains,Slow-cooked pork with pineapple salsa,13.95,690,gluten,medium,true,false,false,false,false,false,,18,
Shrimp Fajitas,Mains,Sizzling shrimp with peppers and onions served with tortillas,16.95,620,gluten|shellfish|dairy,mild,true,false,false,false,false,false,,19,
Kids Cheese Quesadilla,Mains,Small cheese quesadilla with fries,5.95,380,gluten|dairy,none,true,false,true,false,true,false,,20,
Kids Chicken Tenders,Mains,Breaded chicken strips with fries,6.95,420,gluten,none,true,false,true,false,true,false,,21,
Caesar Salad,Mains,Romaine lettuce parmesan cheese croutons and Caesar dressing,8.95,380,gluten|dairy|fish,none,true,true,false,true,false,false,,22,
Taco Salad,Mains,Crispy tortilla bowl with beef lettuce cheese tomato and sour cream,11.95,620,gluten|dairy,mild,true,false,false,true,false,false,,23,
Southwest Chicken Salad,Mains,Grilled chicken on mixed greens with corn black beans and chipotle ranch,12.95,480,dairy,mild,true,true,false,true,false,false,gf,24,
Churros,Desserts,Fried dough pastry with cinnamon sugar and chocolate sauce,5.95,420,gluten|dairy,none,true,false,true,false,false,false,v,30,
Flan,Desserts,Traditional Mexican caramel custard,6.95,340,dairy|eggs,none,true,false,true,false,false,true,v,31,
Tres Leches Cake,Desserts,Sponge cake soaked in three types of milk,6.95,480,gluten|dairy|eggs,none,true,false,true,false,false,false,v,32,
Fried Ice Cream,Desserts,Vanilla ice cream in a crispy coating with honey and whipped cream,6.95,520,gluten|dairy|eggs,none,true,false,true,false,false,false,v,33,
Coffee,Hot Drinks,Freshly brewed Colombian coffee,2.95,5,,none,true,false,false,false,false,true,vg,40,
Hot Chocolate,Hot Drinks,Rich Mexican hot chocolate with cinnamon,3.95,280,dairy,none,true,false,true,false,false,false,v,41,
Corona,Beers & Cider,Mexican lager 330ml,4.95,150,,none,true,false,false,false,false,true,vg,50,
Modelo Especial,Beers & Cider,Premium Mexican pilsner 330ml,4.95,145,,none,true,false,false,false,false,true,vg,51,
Margarita,Beers & Cider,Classic lime margarita,7.95,220,,none,true,false,false,false,false,true,vg,52,
Michelada,Beers & Cider,Beer cocktail with lime and hot sauce,6.95,180,,none,true,false,false,false,false,true,vg,53,
